year_film,year_ceremony,ceremony,category,name,film,win,Gross,Date,Runtime,Awards,nominations,imdb,tomato,Metacr,imdbVotes,Documentary,Thriller,Short,Comedy,Fantasy,Animation,Mystery,Music,Biography,Drama,Western,Sci-Fi,Musical,History,Action,Crime,Romance,Family,Adventure,Sport,Horror,War
1979,1980,52,ACTRESS IN A LEADING ROLE,Jane Fonda,The China Syndrome,False,51718367.0,Mar,122,7.0,11.0,7.4,84.0,81.0,25143.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,1980,52,ACTRESS IN A LEADING ROLE,Marsha Mason,Chapter Two,False,59866942.41791045,Aug,124,0.0,2.0,6.0,50.0,77.40287769784173,920.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1979,1980,52,ACTRESS IN A LEADING ROLE,Bette Midler,The Rose,False,29174648.0,Nov,125,5.0,8.0,7.0,76.0,67.0,7489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1980,1981,53,ACTRESS IN A LEADING ROLE,Ellen Burstyn,Resurrection,False,3910019.0,Sep,103,3.0,6.0,7.3,85.8449111470113,77.40287769784173,2519.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,1981,53,ACTRESS IN A LEADING ROLE,Goldie Hawn,Private Benjamin,False,69847348.0,Oct,109,1.0,3.0,6.2,81.0,59.0,22198.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1980,1981,53,ACTRESS IN A LEADING ROLE,Mary Tyler Moore,Ordinary People,False,54766923.0,Feb,124,15.0,14.0,7.7,88.0,87.0,43845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,1981,53,ACTRESS IN A LEADING ROLE,Gena Rowlands,Gloria,False,4059673.0,Oct,123,4.0,3.0,7.1,92.0,68.0,7687.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,1981,53,ACTRESS IN A LEADING ROLE,Sissy Spacek,Coal Miners Daughter,True,67182787.0,Mar,124,9.0,13.0,7.5,89.0,87.0,15633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,1982,54,ACTRESS IN A LEADING ROLE,Katharine Hepburn,On Golden Pond,True,119285432.0,Feb,109,11.0,23.0,7.6,93.0,68.0,26152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,1982,54,ACTRESS IN A LEADING ROLE,Diane Keaton,Reds,False,40382659.0,Dec,195,19.0,34.0,7.3,90.0,76.0,19619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
