year_film,year_ceremony,ceremony,category,name,film,win,Gross,Date,Runtime,Awards,nominations,imdb,tomato,Metacr,imdbVotes,Documentary,Thriller,Short,Comedy,Fantasy,Animation,Mystery,Music,Biography,Drama,Western,Sci-Fi,Musical,History,Action,Crime,Romance,Family,Adventure,Sport,Horror,War
1979,1980,52,DIRECTING,Edouard Molinaro,La Cage aux Folles,False,124060553.0,Mar,97,5.0,2.0,7.3,95.0,77.40287769784173,9182.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,1981,53,DIRECTING,David Lynch,The Elephant Man,False,26010864.0,Oct,124,10.0,13.0,8.1,91.0,77.0,206289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,1981,53,DIRECTING,Robert Redford,Ordinary People,True,54766923.0,Feb,124,15.0,14.0,7.7,88.0,87.0,43845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,1981,53,DIRECTING,Martin Scorsese,Raging Bull,False,23383987.0,Dec,129,22.0,27.0,8.2,94.0,89.0,301003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1980,1981,53,DIRECTING,Richard Rush,The Stunt Man,False,7063886.0,Jun,131,4.0,8.0,7.1,89.0,77.0,8236.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1980,1981,53,DIRECTING,Roman Polanski,Tess,False,20093330.0,Dec,170,13.0,14.0,7.3,81.0,82.0,13963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1981,1982,54,DIRECTING,Louis Malle,Atlantic City,False,12729675.0,Nov,60,0.0,0.0,7.462968750000003,85.8449111470113,77.40287769784173,205000.5703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,1982,54,DIRECTING,Hugh Hudson,Chariots of Fire,False,58972904.0,Apr,125,14.0,19.0,7.2,84.0,78.0,50993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1981,1982,54,DIRECTING,Mark Rydell,On Golden Pond,False,119285432.0,Feb,109,11.0,23.0,7.6,93.0,68.0,26152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,1982,54,DIRECTING,Steven Spielberg,Raiders of the Lost Ark,False,248159971.0,Jun,115,31.0,24.0,8.4,95.0,85.0,836565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1981,1982,54,DIRECTING,Warren Beatty,Reds,True,40382659.0,Dec,195,19.0,34.0,7.3,90.0,76.0,19619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1982,1983,55,DIRECTING,Wolfgang Petersen,Das Boot,False,11487676.0,Feb,149,13.0,5.0,8.3,98.0,86.0,218032.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1982,1983,55,DIRECTING,Steven Spielberg,ET The Extra-Terrestrial,False,435110554.0,Jun,115,48.0,35.0,7.8,98.0,91.0,349157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1982,1983,55,DIRECTING,Richard Attenborough,Gandhi,True,52767889.0,Feb,191,27.0,20.0,8.0,84.0,79.0,211004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,1983,55,DIRECTING,Sydney Pollack,Tootsie,False,177200000.0,Dec,116,24.0,30.0,7.4,90.0,88.0,91891.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
